2720348,M,White,"Naquin, Lucy J.",USCI,CSCI,GAMEDEV,38,20.0,1.9229072772043772,Y,5.0,1893.0
2831644,F,Black/African American,"Cooper, Andrew G.",USCI,CSCI,BIOINFORM,35,0.0,3.706846919192109,Y,3.0,1516.0
2570467,M,Asian,"Sennheiser, Joan B.",USCI,CSCI,GAMEDEV,8,20.0,3.441920788676004,N,15.0,2851.0
2454684,M,White,"Lee, Maria R.",USCI,CSCI,,36,12.0,1.9635093085158453,Y,6.0,5242.0
2683209,F,Black/African American,"Tudor, James D.",USCI,CSCI,,21,20.0,1.9733914196742488,Y,14.0,534.0
2919248,F,Black/African American,"Kirk, Chris L.",USCI,CSCI,INFASSUR,0,12.0,3.1744782860657383,N,18.0,5878.0
2020614,M,Two or more races,"Jackson, Michael E.",USCI,CSCI,INFASSUR,15,24.0,3.8458167668724736,Y,1.0,35.0
2714253,M,Hispanic/Latino,"Baker, Stacey K.",USCI,CSCI,INFASSUR,4,24.0,2.2499167122032455,Y,9.0,4355.0
2623757,F,Asian,"Feynman, Lars A.",USCI,CSCI,BIOINFORM,24,12.0,1.0066649710167623,Y,8.0,1953.0
2718007,M,Not Specified,"Sennheiser, Doug K.",USCI,CSCI,,32,28.0,2.48115264143629,Y,3.0,7747.0
